DATE,USD,JPY,m1-m2,USANGDP,JPNNGDP,y1-y2,logver,usd,jpy,m-m,usagdp,jpngdp,y-y
1994/1/1,1.14E+12,1.64E+14,-1.63E+14,7136.3,495059.7,-487923.4,,12.05537833,14.21449415,-2.159115822,3.853473099,5.694657574,-1.841184475
1994/4/1,1.14E+12,1.65E+14,-1.64E+14,7269.8,492499.2,-485229.4,,12.05812222,14.21856964,-2.160447422,3.861522463,5.692405529,-1.830883066
1994/7/1,1.15E+12,1.68E+14,-1.67E+14,7352.3,500136.6,-492784.3,,12.06110174,14.22622602,-2.165124284,3.866423219,5.699088637,-1.832665418
1994/10/1,1.15E+12,1.69E+14,-1.68E+14,7476.7,495307.1,-487830.4,,12.06092437,14.22870826,-2.16778389,3.873709955,5.694874553,-1.821164598
1995/1/1,1.15E+12,1.71E+14,-1.70E+14,7545.3,495171.1,-487625.8,,12.060131,14.23420841,-2.17407741,3.877676512,5.69475529,-1.817078778
1995/4/1,1.15E+12,1.77E+14,-1.75E+14,7604.9,501284.1,-493679.2,,12.05928693,14.24698578,-2.187698855,3.881093508,5.70008393,-1.818990422
1995/7/1,1.14E+12,1.85E+14,-1.84E+14,7706.5,504785,-497078.5,,12.0585399,14.26796447,-2.209424574,3.886857183,5.703106441,-1.816249258
1995/10/1,1.13E+12,1.91E+14,-1.90E+14,7799.5,505180.5,-497381,,12.05421841,14.28099699,-2.226778575,3.892066762,5.703446578,-1.811379816
1996/1/1,1.12E+12,1.98E+14,-1.97E+14,7893.1,506644.3,-498751.2,,12.0498109,14.2972592,-2.247448302,3.897247605,5.704703161,-1.807455556
1996/4/1,1.12E+12,2.04E+14,-2.03E+14,8061.5,511822.2,-503760.7,,12.0487641,14.3094151,-2.260650993,3.906415858,5.709119119,-1.802703261
1996/7/1,1.10E+12,2.08E+14,-2.07E+14,8159,511822.1,-503663.1,,12.04273298,14.31794013,-2.275207149,3.911636933,5.709119034,-1.797482101
1996/10/1,1.08E+12,2.12E+14,-2.11E+14,8287.1,518238.7,-509951.6,,12.03482892,14.32674538,-2.291916464,3.918402579,5.714529841,-1.796127262
1997/1/1,1.08E+12,2.18E+14,-2.17E+14,8402.1,522134.9,-513732.8,,12.03241728,14.33785244,-2.305435165,3.924387846,5.717782723,-1.793394877
1997/4/1,1.06E+12,2.21E+14,-2.20E+14,8551.9,523435.2,-514883.3,,12.02718646,14.34495983,-2.317773364,3.932062614,5.718862925,-1.786800311
1997/7/1,1.07E+12,2.24E+14,-2.23E+14,8691.8,524022,-515330.2,,12.02907114,14.35107123,-2.322000098,3.939109725,5.71934952,-1.780239796
1997/10/1,1.07E+12,2.33E+14,-2.31E+14,8788.3,524561.9,-515773.6,,12.02922139,14.36648273,-2.337261333,3.943904874,5.719796744,-1.77589187
