DATE,EXJPUS
1994/1/1,111.4415
1994/4/1,103.4843
1994/7/1,98.445
1994/10/1,98.353
1995/1/1,99.766
1995/4/1,83.6895
1995/7/1,87.397
1995/10/1,100.839
1996/1/1,105.7514
1996/4/1,107.1995
1996/7/1,109.1909
1996/10/1,112.4123
1997/1/1,117.9124
1997/4/1,125.6377
1997/7/1,115.3759
1997/10/1,121.0605
1998/1/1,129.5475
1998/4/1,131.7536
1998/7/1,140.7874
1998/10/1,121.0486
1999/1/1,113.29
1999/4/1,119.7723
1999/7/1,119.3305
1999/10/1,105.965
2000/1/1,105.296
2000/4/1,105.627
2000/7/1,108.2115
2000/10/1,108.4429
2001/1/1,116.6719
2001/4/1,123.771
2001/7/1,124.4981
2001/10/1,121.4536
2002/1/1,132.6833
2002/4/1,130.7718
2002/7/1,117.8991
2002/10/1,123.9077
2003/1/1,118.8133
2003/4/1,119.895
2003/7/1,118.6959
2003/10/1,109.4955
2004/1/1,106.2685
2004/4/1,107.6564
2004/7/1,109.4871
2004/10/1,108.7835
2005/1/1,103.341
2005/4/1,107.1938
2005/7/1,111.9535
2005/10/1,114.8695
2006/1/1,115.4765
2006/4/1,117.0695
2006/7/1,115.767
2006/10/1,118.609
2007/1/1,120.4471
2007/4/1,118.9324
2007/7/1,121.4148
2007/10/1,115.8661
2008/1/1,107.8181
2008/4/1,102.6777
2008/7/1,106.8518
2008/10/1,99.9659
2009/1/1,90.1205
2009/4/1,98.92
2009/7/1,94.367
2009/10/1,90.3671
2010/1/1,91.1011
2010/4/1,93.4527
2010/7/1,87.5005
2010/10/1,81.7285
2011/1/1,82.625
2011/4/1,83.1771
2011/7/1,79.2425
2011/10/1,76.643
2012/1/1,76.964
2012/4/1,81.2524
2012/7/1,78.9348
2012/10/1,79.0132
2013/1/1,89.0581
2013/4/1,97.7582
2013/7/1,99.6727
2013/10/1,97.77
2014/1/1,103.7614
2014/4/1,102.4582
2014/7/1,101.74
2014/10/1,108.0264
