DATE,St_log,m,y,r,tb_GDP
1994/1/1,4.71349979,2.15911582,1.841184475,-1.611,0.011300093
1994/4/1,4.63941991,2.16044742,1.830883066,-2.361,0.012467717
1994/7/1,4.589498017,2.16512428,1.832665418,-2.851,0.013184042
1994/10/1,4.588563048,2.16778389,1.821164598,-3.651,0.013633476
1995/1/1,4.602827444,2.17407741,1.817078778,-4.111,0.01395979
1995/4/1,4.427113522,2.18769885,1.818990422,-4.724,0.01440247
1995/7/1,4.470460957,2.20942457,1.816249258,-4.744666667,0.009657401
1995/10/1,4.613525186,2.22677858,1.811379816,-4.886,0.008951695
1996/1/1,4.661091057,2.2474483,1.807455556,-4.556,0.011252275
1996/4/1,4.674691584,2.260651,1.802703261,-4.646,0.011623869
1996/7/1,4.693097727,2.27520715,1.797482101,-4.726,0.013997591
1996/10/1,4.722173362,2.29191646,1.796127262,-4.606,0.010716579
1997/1/1,4.769941976,2.30543516,1.793394877,-4.686,0.01295041
1997/4/1,4.833402368,2.31777337,1.786800311,-4.676,0.00996551
1997/7/1,4.748195493,2.32200009,1.780239795,-4.676,0.011139467
1997/10/1,4.796290421,2.33726134,1.77589187,-4.716,0.013317255
1998/1/1,4.864047609,2.34278461,1.762116569,-4.676,0.015212773
1998/4/1,4.880933512,2.34430416,1.75401655,-4.606,0.018048926
1998/7/1,4.947250951,2.35335083,1.746766328,-4.512333333,0.019094042
1998/10/1,4.796192118,2.35815604,1.74106583,-4.075,0.019166972
1999/1/1,4.729950903,2.37094395,1.729504843,-4.302333333,0.02207478
1999/4/1,4.78559244,2.38204659,1.724431718,-4.400333333,0.025681474
1999/7/1,4.781896954,2.39751827,1.714571452,-4.617,0.02843155
1999/10/1,4.663108851,2.40231601,1.705980761,-4.859333333,0.029874619
2000/1/1,4.656775432,2.40855493,1.707506078,-5.442333333,0.035175148
2000/4/1,4.65991402,2.41383527,1.695920959,-5.647333333,0.034990375
2000/7/1,4.684087645,2.41799742,1.690804592,-5.738666667,0.037513024
2000/10/1,4.686223767,2.42950694,1.688091127,-5.521666667,0.038427958
2001/1/1,4.759365722,2.43379516,1.689591828,-4.614666667,0.037277787
2001/4/1,4.818433084,2.44062884,1.679628192,-3.640666667,0.033775047
2001/7/1,4.824290455,2.4384727,1.673062981,-3.151666667,0.03446719
2001/10/1,4.799532297,2.45888396,1.668655042,-1.888333333,0.033362675
2002/1/1,4.887965086,2.49172981,1.663210902,-1.717333333,0.034642804
2002/4/1,4.873453819,2.53252155,1.658891343,-1.714,0.038047399
2002/7/1,4.769829174,2.54133875,1.655987326,-1.636,0.039107458
2002/10/1,4.819536934,2.54372506,1.653534853,-1.320666667,0.043502177
2003/1/1,4.777553354,2.53634464,1.643287232,-1.152666667,0.044668571
2003/4/1,4.78661636,2.5287297,1.643678138,-1.031666667,0.044099883
2003/7/1,4.77656476,2.52813738,1.634030552,-0.908666667,0.043006213
2003/10/1,4.695883453,2.52715637,1.627762652,-0.913333333,0.043307772
2004/1/1,4.66596891,2.52553537,1.624512781,-0.912666667,0.045599312
2004/4/1,4.678944674,2.52278094,1.616453708,-1.069333333,0.049917334
2004/7/1,4.695806734,2.52611671,1.609902063,-1.482333333,0.051590705
2004/10/1,4.689359669,2.5233428,1.602130944,-2.007333333,0.054453438
2005/1/1,4.6380342,2.52879734,1.59207015,-2.536333333,0.052822325
2005/4/1,4.674638411,2.53247033,1.590546825,-2.86,0.053117109
2005/7/1,4.718083607,2.53992424,1.582662864,-3.359666667,0.055389358
2005/10/1,4.743796701,2.54365609,1.576506846,-3.829,0.058853101
2006/1/1,4.749067046,2.54412375,1.568422337,-4.354,0.056945089
2006/4/1,4.762767776,2.54493778,1.564079243,-4.496333333,0.05664133
2006/7/1,4.75157955,2.54861959,1.559770133,-4.554333333,0.057924545
2006/10/1,4.775832369,2.54608728,1.560362598,-4.487,0.051146876
2007/1/1,4.791210652,2.54779187,1.5574858,-4.468,0.051187309
2007/4/1,4.778555264,2.5460869,1.552669979,-4.148666667,0.050828369
2007/7/1,4.799212782,2.54573371,1.544728345,-3.664333333,0.04888034
2007/10/1,4.752435214,2.54665436,1.542695869,-2.824333333,0.047711067
2008/1/1,4.680445548,2.54157369,1.543984882,-1.464,0.051596818
2008/4/1,4.631594956,2.53811736,1.533539679,-1.041666667,0.051267593
2008/7/1,4.671442828,2.52647728,1.524809272,-0.891,0.052118534
2008/10/1,4.604829128,2.49561631,1.525697734,0.179333333,0.041399915
2009/1/1,4.501147664,2.48460126,1.512447512,0.043666667,0.027382447
2009/4/1,4.594311443,2.47334982,1.518060259,0.019333333,0.023829227
2009/7/1,4.547191436,2.46475186,1.513764743,-0.006666667,0.02819958
2009/10/1,4.503880263,2.45841892,1.512449057,0.081666667,0.03025012
2010/1/1,4.511969879,2.45754522,1.514265258,0.007666667,0.033291041
2010/4/1,4.537455426,2.4585396,1.510866891,-0.034666667,0.035144141
2010/7/1,4.471644508,2.45330968,1.509634839,-0.051,0.035533113
2010/10/1,4.403402778,2.43932683,1.500146406,-0.021666667,0.033074815
2011/1/1,4.414312298,2.43251405,1.490423307,-0.017333333,0.03691372
2011/4/1,4.42097207,2.42750075,1.478141123,0.049666667,0.03795657
2011/7/1,4.372512771,2.39886226,1.484189243,0.075333333,0.036720802
